ConstantKey,ConstantKeyZh,Value,Comment,CommentZh
NormalAttackPrimaryMult,普攻主属性倍率,15,NormalAttackPower = Primary x Mult,普通攻击伤害=主属性最终值×本系数；职业表CombatConvertCoeffs可覆盖
AttackSpeedBase,攻击速度基础值,0.5,AttackSpeed constant term,攻速=本值+敏捷相关项中的常数项
AttackSpeedAgiDiv,攻击速度敏捷除数,60,AttackSpeed Agility divisor,攻速公式中除以敏捷的分子；敏捷越高攻速越接近基础值
SkillCdIntDiv,技能冷却智力除数,30,SkillCooldown Intelligence divisor,"技能CD=max(下限,基础CD−本值/max(智力,1))；Demo不施放"
SkillCdFloor,技能冷却下限,0.1,SkillCooldown floor seconds,技能冷却最短秒数，防止智力过高使CD过低
MaxHpStrengthMult,血量力量系数,3,MaxHP = ceil(BodyLife + Str x Mult),士兵最大生命=ceil(躯体生命+力量×本系数)
CameraHeightY,镜头高度,18,Top-down camera world Y above map center,俯视正交相机相对地图中心的世界Y高度；Dig/Defend/布阵/PushMap共用
CameraOrthoSizeMargin,地图适配Size余量,1.5,orthoSize = max(halfExtents) - margin,Dig/Defend/布阵：正交Size=地图半幅较大边减去本余量
PushMapCameraOrthoSize,推图开战默认Size,2,PushMap combat default orthographicSize,PushMap开战默认正交Size（异于Defend的地图适配公式）
CameraNearClip,镜头近裁剪面,0.1,Camera nearClipPlane,正交相机近裁剪面
CameraFarClip,镜头远裁剪面,100,Camera farClipPlane,正交相机远裁剪面
CameraFollowDeadzone,跟随死区半径,0.15,PushMap Auto follow deadzone world-XZ,PushMap Auto跟随：目标在死区内则镜头XZ不移动
CameraFollowSmoothTime,跟随平滑时间,0.25,PushMap Auto SmoothDamp time,PushMap Auto跟随：超出死区后XZ SmoothDamp时间（秒）
CameraZoomStepPerNotch,滚轮缩放步进,0.5,Scroll wheel orthographicSize step,PushMap滚轮每格改变的正交Size
CameraOrthoSizeMin,正交Size下限,0.5,Min orthographicSize clamp,正交Size下限（含Dig/Defend适配结果钳制与PushMap缩放）
CameraOrthoSizeMax,正交Size上限,20,Max orthographicSize clamp,PushMap滚轮缩放上限
CameraDragThresholdPixels,拖拽启动像素阈值,4,LMB drag arm threshold in screen px,PushMap手动拖镜头：累计位移超过本像素才开始平移
PushMapCameraIntroSpeed,推图镜头预览速度,1.5,PushMap StartBattle Intro rail speed world-XZ units/sec,PushMap开战镜头预览沿CameraFollowPath的世界XZ恒速（单位/秒）
PushMapCameraIntroWaypointDwellSeconds,推图镜头预览路点停留,0.5,PushMap Intro dwell seconds at each author WP,PushMap开战镜头预览在每个作者路点（含起终点）的停留秒数
DigTriggerDwellSeconds,挖坟触发停留,0.2,Cursor dwell before DigAction starts,光标与可挖坟相交并停留达到本秒数后触发DigAction
BaseDigDuration,挖坟基础时长,0.8,BaseDigDuration seconds,DigActionDuration=max(下限
DigActionDurationFloor,挖坟最短时长,0.1,Min DigActionDuration seconds,单次挖坟最短秒数（公式地板）
AttackSlotMeleeCount,近战攻击位数量,12,Melee AttackSlot ring slot count,近战单位围绕目标可占用的攻击位数量
AttackSlotRangedCount,远程攻击位数量,8,Ranged AttackSlot ring slot count,远程单位围绕目标可占用的攻击位数量
AttackSlotMargin,攻击位环半径余量,0.05,Ring radius = reach sum - margin,攻击位环半径计算时从可达距离减去的余量
AttackSlotMinRingRadius,攻击位环最小半径,0.05,Min AttackSlot ring radius,攻击位环半径下限
AttackSlotReclaimMoveThreshold,攻击位重算位移阈值,0.5,Target move distance to recompute slots,目标移动超过本距离时重算攻击位
